transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_214510.1	COLP2alpha	0.00	0.00	0.00	0.0	0.16	3.71	5.67	2.42	5.06	2.70
XM_030999854.1	COLP2alpha	0.00	0.09	0.00	0.0	0.00	0.71	0.44	0.44	1.13	0.22
XM_030999855.1	COLP2alpha	0.00	0.14	0.04	0.105	2.11	133.17	209.76	113.58	177.22	121.00
XM_030999856.1	COLP2alpha	0.40	0.27	0.29	0.125	1.05	82.42	118.12	67.48	99.98	76.23
NM_214466.1	COLP3alpha	4.48	0.72	48.94	236.82	287.31	306.12	215.51	150.27	169.18	121.68
NM_214511.1	COLP4alpha	1.56	0.16	20.61	172.095	172.95	122.49	74.03	37.76	74.70	56.62
NM_214476.1	CVp18	795.94	2216.70	219.48	10.504999999999999	6.75	3.77	3.49	3.11	1.89	1.27
NM_214501.1	Cdc6	799.98	810.52	159.86	28.380000000000003	30.61	14.38	12.36	6.44	10.16	9.59
XM_030978126.1	Chk1	6.95	17.89	3.55	3.665	4.63	3.05	2.00	1.66	3.65	2.90
XM_030978127.1	Chk1	0.00	0.00	0.00	2.265	0.10	0.00	0.00	0.00	0.00	0.00
NM_214595.1	Coel1	257.39	579.39	599.82	340.06	537.18	403.76	468.85	351.30	1031.32	786.19
NM_001037157.2	CyI	17.97	0.00	308.35	0.0	825.47	2345.87	1780.85	2281.64	726.80	1560.95
XM_011665467.2	CyI	1.95	10.95	318.43	939.945	959.39	675.03	795.86	789.55	1160.59	1030.91
XM_030997000.1	CyI	8.30	62.61	271.10	777.21	301.10	174.98	269.86	288.55	344.74	254.95
NM_214529.1	CyIIIa	13.22	0.00	0.00	0.0	1056.24	3607.83	2477.72	4286.91	0.00	931.00
XM_030983882.1	CyIIIa	89.10	392.12	8361.99	10963.994999999999	9532.76	8692.44	8729.85	9092.22	7358.00	6525.38
XM_030983883.1	CyIIIa	0.00	28.59	96.83	138.79	76.93	78.41	196.44	273.38	360.71	321.69
NM_001366342.1	CycA	40.50	153.07	35.30	10.4	10.06	1.79	0.98	2.29	7.16	3.74
XM_030980164.1	CycA	6347.56	4476.72	485.16	94.095	94.39	62.69	43.39	38.11	41.20	25.87
NM_214486.1	DD104	0.23	0.38	0.77	0.0	0.00	0.14	0.15	0.00	0.00	0.00
XM_011674391.2	DD104	0.00	0.00	0.38	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XM_011674392.2	DD104	0.31	0.82	0.00	0.03	0.34	0.00	0.00	0.03	0.03	0.07
NM_214488.2	DD186	0.00	0.37	0.23	0.035	0.11	0.09	0.04	0.00	0.14	0.04
NM_214655.1	DVR1	125.45	50.83	205.40	62.325	67.22	43.76	33.77	32.66	27.84	20.63
